Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL
Anne et Jean-Francois Ganevat Cotes du Jura ‘La Graviere’ 2020,$828.00 ,,Anne et Jean-François Ganevat,Chardonnay,France / Jura / Côtes du Jura,Jura White,https://vinewineltd.com/product/anne-et-jean-francois-ganevat-cotes-du-jura-la-graviere-2020/
Philippe Chatillon Cotes du Jura Hari Om Pinot Noir 2020,$468.00 ,images\Philippe_Chatillon_Cotes_du_Jura_Hari_Om_Pinot_Noir_2020.jpg,,,,,https://vinewineltd.com/product/philippe-chatillon-cotes-du-jura-hari-om-pinot-noir-2020/
Bollinger PN AYC18 2018 – Gift Box,$758.00 ,images\Bollinger_PN_AYC18_2018_–_Gift_Box.jpg,Bollinger,Pinot Noir,France / Champagne,French Champagne,https://vinewineltd.com/product/bollinger-pn-ayc18-2018-gift-box/
Lanson Clos Lanson 2006,"$1,650.00 ",images\Lanson_Clos_Lanson_2006.jpg,Lanson,100% Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/lanson-clos-lanson-2006/
Lanson Noble Cuvee Blanc de Blancs 2002,"$1,288.00 ",images\Lanson_Noble_Cuvee_Blanc_de_Blancs_2002.jpg,Lanson,Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/lanson-noble-cuvee-blanc-de-blancs-2002/
Laherte Freres Les Vignes d’Autrefois Blanc de Noirs Extra Brut Champagne 2018,$648.00 ,images\Laherte_Freres_Les_Vignes_d’Autrefois_Blanc_de_Noirs_Extra_Brut_Champagne_2018.jpg,Laherte Freres,"Pinot Meunier, Pinot Noir",France / Champagne,French Champagne,https://vinewineltd.com/product/laherte-freres-les-vignes-dautrefois-blanc-de-noirs-extra-brut-champagne-2018/
Laherte Freres Les Grandes Crayeres Blanc de Blancs 2018,$648.00 ,images\Laherte_Freres_Les_Grandes_Crayeres_Blanc_de_Blancs_2018.jpg,Laherte Freres,100% Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/laherte-freres-les-grandes-crayeres-blanc-de-blancs-2018/
Pierre Gimonnet et Fils ‘Oenophile Non Dose’ Premier Cru Champagne 2014,$480.00 ,,Pierre Gimonnet & Fils,Chardonnay,France / Champagne / Champagne Premier Cru,French Champagne,https://vinewineltd.com/product/pierre-gimonnet-et-fils-oenophile-non-dose-premier-cru-champagne-2014/
"Romain Henin L’Appel de la Foret Extra Brut, Champagne 2015","$1,080.00 ","images\Romain_Henin_L’Appel_de_la_Foret_Extra_Brut,_Champagne_2015.jpg",,,,,https://vinewineltd.com/product/romain-henin-lappel-de-la-foret-extra-brut-champagne-2015/
Leclerc Briant Les Monts Ferres Brut Zero 2018,"$1,350.00 ",images\Leclerc_Briant_Les_Monts_Ferres_Brut_Zero_2018.jpg,Leclerc Briant,"Pinot Meunier, Chardonnay, Pinot Noir",France / Champagne / Champagne Premier Cru,French Champagne,https://vinewineltd.com/product/leclerc-briant-les-monts-ferres-brut-zero-2018/
Leclerc-Briant ‘Abyss’ Extra Brut Rose Champagne 2018,"$2,980.00 ",images\Leclerc-Briant_‘Abyss’_Extra_Brut_Rose_Champagne_2018.jpg,Leclerc Briant,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne,French Champagne,https://vinewineltd.com/product/leclerc-briant-abyss-extra-brut-rose-champagne-2018/
Leclerc-Briant ‘Abyss’ Brut Zero Champagne 2017,"$1,980.00 ",,Leclerc Briant,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne,French Champagne,https://vinewineltd.com/product/leclerc-briant-abyss-brut-zero-champagne-2017/
Charles de Cazanove Stradivarius 2007,$468.00 ,images\Charles_de_Cazanove_Stradivarius_2007.jpg,Charles de Cazanove,"Pinot Noir, Chardonnay",France / Champagne,French Champagne,https://vinewineltd.com/product/charles-de-cazanove-stradivarius-2007/
Leclerc Briant Blanc de Blancs Extra Brut Champagne 2018,$940.00 ,images\Leclerc_Briant_Blanc_de_Blancs_Extra_Brut_Champagne_2018.jpg,Leclerc Briant,Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/leclerc-briant-blanc-de-blancs-extra-brut-champagne-2018/
Boizel Collection Tresor Extra Brut Millesime Champagne 1990,"$2,580.00 ",,Boizel,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne,French Champagne,https://vinewineltd.com/product/boizel-collection-tresor-extra-brut-millesime-champagne-1990/
Dom Perignon Brut Champagne 2013,"$1,345.00 ",images\Dom_Perignon_Brut_Champagne_2013.jpg,Dom Pérignon,"Chardonnay, Pinot Noir",France / Champagne,French Champagne,https://vinewineltd.com/product/dom-perignon-brut-champagne-2013/
Andre Beaufort ‘Potion’ Non Dose Champagne 2020,$698.00 ,images\Andre_Beaufort_‘Potion’_Non_Dose_Champagne_2020.jpg,André Beaufort,100% Chardonnay,France / Champagne,,https://vinewineltd.com/product/andre-beaufort-potion-non-dose-champagne-2020/
Vilmart & Cie ‘Coeur de Cuvee’ Premier Cru Brut 2013,$998.00 ,images\Vilmart_&_Cie_‘Coeur_de_Cuvee’_Premier_Cru_Brut_2013.jpg,Vilmart &amp; Cie,"Chardonnay, Pinot Noir",France / Champagne / Champagne Premier Cru,French Champagne,https://vinewineltd.com/product/vilmart-cie-coeur-de-cuvee-premier-cru-brut-2013/
Billecart-Salmon ‘Cuvee Elisabeth Salmon’ Brut Rose Millesime 2009,"$1,330.00 ",images\Billecart-Salmon_‘Cuvee_Elisabeth_Salmon’_Brut_Rose_Millesime_2009.jpg,Billecart-Salmon,"55% Pinot Noir, 45% Chardonnay",France / Champagne,French Champagne,https://vinewineltd.com/product/billecart-salmon-cuvee-elisabeth-salmon-brut-rose-millesime-2009/
Pierre Gimonnet et Fils Oger Grand Cru Special Club Champagne 2015,$898.00 ,images\Pierre_Gimonnet_et_Fils_Oger_Grand_Cru_Special_Club_Champagne_2015.jpg,Pierre Gimonnet &amp; Fils,Chardonnay,France / Champagne / Côte des Blancs / Champagne Grand Cru Oger,French Champagne,https://vinewineltd.com/product/pierre-gimonnet-et-fils-oger-grand-cru-special-club-champagne-2015/
Laherte Freres Les Empreintes Brut Champagne 2017,$760.00 ,images\Laherte_Freres_Les_Empreintes_Brut_Champagne_2017.jpg,Laherte Freres,Pinot Noir &amp; Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/laherte-freres-les-empreintes-brut-champagne-2017/
Charles de Cazanove Tradition Vintage 2008 (Glass set),$580.00 ,images\Charles_de_Cazanove_Tradition_Vintage_2008_(Glass_set).jpg,Charles de Cazanove,"Chardonnay, Pinot Noir",France / Champagne,French Champagne,https://vinewineltd.com/product/charles-de-cazanove-tradition-vintage-2008-glass-set/
Deutz Brut Classic Champagne NV (Gift Box),$428.00 ,,Deutz,"Pinot Meunier, Pinot Noir, Chardonnay",France / Champagne,French Champagne,https://vinewineltd.com/product/deutz-brut-classic-champagne-nv-gift-box/
"Jerome Blin ‘La Varoce’ Extra Brut, Champagne NV",$428.00 ,"images\Jerome_Blin_‘La_Varoce’_Extra_Brut,_Champagne_NV.jpg",Jérôme Blin,"80% Pinot Meunier, 20% Chardonnay",France / Champagne,French Champagne,https://vinewineltd.com/product/jerome-blin-la-varoce-extra-brut-champagne-nv/
"Billecart-Salmon, Les Rendez-Vous de Billecart-Salmon No 3, Meunier Extra Brut NV",$880.00 ,"images\Billecart-Salmon,_Les_Rendez-Vous_de_Billecart-Salmon_No_3,_Meunier_Extra_Brut_NV.jpg",Billecart-Salmon,Pinot Meunier,France / Champagne,French Champagne,https://vinewineltd.com/product/billecart-salmon-les-rendez-vous-de-billecart-salmon-no-3-meunier-extra-brut-nv/
Delamotte Brut NV,$279.00 ,images\Delamotte_Brut_NV.jpg,Delamotte,"60% Chardonnay, 35% Pinot Noir, 5% Pinot Meunier",France / Champagne / Côte des Blancs / Champagne Grand Cru ‘Le Mesnil-sur-Oger’,French Champagne,https://vinewineltd.com/product/delamotte-brut-nv/
"Frederic Savart, Bulle de Rose Extra Brut NV",$748.00 ,"images\Frederic_Savart,_Bulle_de_Rose_Extra_Brut_NV.jpg",Savart,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne / Champagne Premier Cru,French Champagne,https://vinewineltd.com/product/frederic-savart-bulle-de-rose-extra-brut-nv/
Champagne Pierre Bertrand Premier Cru Brut NV,$388.00 ,images\Champagne_Pierre_Bertrand_Premier_Cru_Brut_NV.jpg,Pierre Bertrand,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne,French Champagne,https://vinewineltd.com/product/champagne-pierre-bertrand-premier-cru-brut-nv/
Lanson Le Rose Champagne NV with GIFT BOX,$788.00 ,images\Lanson_Le_Rose_Champagne_NV_with_GIFT_BOX.jpg,Lanson,"Chardonnay, Pinot Noir, Pinot Meunier",France / Champagne,French Champagne,https://vinewineltd.com/product/lanson-le-rose-champagne-nv-with-gift-box/
Pierre Gerbais Les Grandes Cotes Extra Brut Champagne NV,$860.00 ,images\Pierre_Gerbais_Les_Grandes_Cotes_Extra_Brut_Champagne_NV.jpg,Pierre Gerbais,Pinot Noir,France / Champagne,French Champagne,https://vinewineltd.com/product/pierre-gerbais-les-grandes-cotes-extra-brut-champagne-nv/
Pierre Gerbais Champs Viole Extra Brut NV,$798.00 ,images\Pierre_Gerbais_Champs_Viole_Extra_Brut_NV.jpg,,,,,https://vinewineltd.com/product/pierre-gerbais-champs-viole-extra-brut-nv/
Rare Brut Millesime Champagne 2008,"$1,190.00 ",images\Rare_Brut_Millesime_Champagne_2008.jpg,Rare Champagne,100% Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/rare-brut-millesime-champagne-2008/
Laherte Freres Longues Voyes Recole Blanc de Noirs NV (L-R 2019),$640.00 ,images\Laherte_Freres_Longues_Voyes_Recole_Blanc_de_Noirs_NV_(L-R_2019).jpg,Laherte Freres,Pinot Noir,France / Champagne / Champagne Premier Cru,French Champagne,https://vinewineltd.com/product/laherte-freres-longues-voyes-recole-blanc-de-noirs-nv-l-r-2019/
Laherte Freres Ultradition Extra Brut NV,$388.00 ,images\Laherte_Freres_Ultradition_Extra_Brut_NV.jpg,Laherte Freres,100% Chardonnay,France / Champagne,French Champagne,https://vinewineltd.com/product/laherte-freres-ultradition-extra-brut-nv/
Drappier Brut Nature Rose Champagne NV,$488.00 ,,Drappier,100% Pinot Noir,France / Champagne,French Champagne,https://vinewineltd.com/product/drappier-brut-nature-rose-champagne-nv/
